,Distance to closest target over sum of distances,Final target,Time to target,Movement starts,First decision time,Allocentric or egocentric,Attraction,Base attraction,sigma
0,0.4400007627720037,-1,0,653,1092,0,"[0.45, 0.46]",0.2,0.1
1,0.17034170521248432,-1,0,756,1013,0,"[0.45, 0.46]",0.2,0.10606060606060606
2,0.31228069322238927,-1,0,508,1756,0,"[0.45, 0.46]",0.2,0.11212121212121212
3,0.09539465148130083,-1,0,351,2824,0,"[0.45, 0.46]",0.2,0.1181818181818182
4,1.0522951680710753e-06,1,4771,322,3378,0,"[0.45, 0.46]",0.2,0.12424242424242425
5,3.558747925973786e-06,1,4248,320,1671,0,"[0.45, 0.46]",0.2,0.1303030303030303
6,2.5645271776327666e-06,1,4077,323,2566,0,"[0.45, 0.46]",0.2,0.13636363636363635
7,2.3996343721344803e-07,1,3843,318,1168,0,"[0.45, 0.46]",0.2,0.14242424242424243
8,9.092120159337719e-07,1,3929,302,4631,0,"[0.45, 0.46]",0.2,0.1484848484848485
9,5.834057322007427e-07,1,3727,262,4921,0,"[0.45, 0.46]",0.2,0.15454545454545454
10,2.0884759631906978e-06,1,3574,261,2598,0,"[0.45, 0.46]",0.2,0.1606060606060606
11,1.9909081526649016e-06,1,3543,244,4881,0,"[0.45, 0.46]",0.2,0.16666666666666669
12,1.2614067763383648e-06,1,3016,232,4797,0,"[0.45, 0.46]",0.2,0.17272727272727273
13,9.003401395469828e-07,1,2882,232,3183,0,"[0.45, 0.46]",0.2,0.17878787878787877
14,6.5636853853982336e-06,1,3281,221,2125,0,"[0.45, 0.46]",0.2,0.18484848484848487
15,6.805991843043103e-06,1,3110,203,4435,0,"[0.45, 0.46]",0.2,0.19090909090909092
16,1.0846098544292322e-05,1,2713,170,3563,0,"[0.45, 0.46]",0.2,0.19696969696969696
17,5.2846927696100805e-06,-1,0,188,4356,0,"[0.45, 0.46]",0.2,0.20303030303030303
18,2.912214177885322e-06,-1,0,212,4044,0,"[0.45, 0.46]",0.2,0.2090909090909091
19,8.339573403804187e-06,-1,0,167,4117,0,"[0.45, 0.46]",0.2,0.21515151515151515
20,3.406193213705589e-06,1,2440,181,3986,0,"[0.45, 0.46]",0.2,0.22121212121212122
21,3.26379405677611e-06,1,2476,178,4412,0,"[0.45, 0.46]",0.2,0.22727272727272727
22,1.484375028347369e-06,-1,0,145,4194,0,"[0.45, 0.46]",0.2,0.23333333333333334
23,1.4303074879661194e-05,-1,0,148,3735,0,"[0.45, 0.46]",0.2,0.2393939393939394
24,1.7116046755942995e-06,-1,0,144,4180,0,"[0.45, 0.46]",0.2,0.24545454545454545
25,1.2263912113557285e-05,-1,0,178,4819,0,"[0.45, 0.46]",0.2,0.2515151515151515
26,1.296962294658855e-05,-1,0,127,4843,0,"[0.45, 0.46]",0.2,0.25757575757575757
27,5.833672702246298e-06,-1,0,125,4897,0,"[0.45, 0.46]",0.2,0.26363636363636367
28,2.7424219921846637e-05,-1,0,128,3785,0,"[0.45, 0.46]",0.2,0.2696969696969697
29,1.235696667669423e-05,1,1777,114,3736,0,"[0.45, 0.46]",0.2,0.27575757575757576
30,4.2830503446882776e-05,-1,0,137,2279,0,"[0.45, 0.46]",0.2,0.28181818181818186
31,1.272777402023e-05,-1,0,164,3374,0,"[0.45, 0.46]",0.2,0.28787878787878785
32,1.64400507978327e-05,-1,0,147,2204,0,"[0.45, 0.46]",0.2,0.29393939393939394
33,9.101067764863797e-06,-1,0,146,2888,0,"[0.45, 0.46]",0.2,0.30000000000000004
34,3.06170567166891e-05,-1,0,134,4367,0,"[0.45, 0.46]",0.2,0.30606060606060603
35,4.373674800446064e-05,-1,0,79,2422,0,"[0.45, 0.46]",0.2,0.31212121212121213
36,5.500259964732734e-05,-1,0,75,2573,0,"[0.45, 0.46]",0.2,0.3181818181818182
37,1.9957265033255923e-05,-1,0,88,4500,0,"[0.45, 0.46]",0.2,0.3242424242424242
38,5.357375967006418e-06,1,1320,108,3628,0,"[0.45, 0.46]",0.2,0.3303030303030303
39,1.5007414246444258e-05,-1,0,101,4848,0,"[0.45, 0.46]",0.2,0.33636363636363636
40,6.433240830058534e-05,-1,0,101,4971,0,"[0.45, 0.46]",0.2,0.3424242424242424
41,1.1577844536311358e-05,-1,0,82,4244,0,"[0.45, 0.46]",0.2,0.3484848484848485
42,3.406864673625562e-05,1,1149,76,1743,0,"[0.45, 0.46]",0.2,0.3545454545454545
43,4.10770420995629e-05,-1,0,67,2486,0,"[0.45, 0.46]",0.2,0.3606060606060606
44,2.9874061755215093e-05,-1,0,68,2751,0,"[0.45, 0.46]",0.2,0.3666666666666667
45,1.73508864658115e-05,-1,0,67,3375,0,"[0.45, 0.46]",0.2,0.3727272727272727
46,3.307078089088074e-05,-1,0,69,3632,0,"[0.45, 0.46]",0.2,0.3787878787878788
47,1.5569831466693723e-05,1,1052,78,3798,0,"[0.45, 0.46]",0.2,0.3848484848484849
48,3.104587647690474e-05,-1,0,71,2479,0,"[0.45, 0.46]",0.2,0.3909090909090909
49,1.999331442234174e-05,-1,0,91,4892,0,"[0.45, 0.46]",0.2,0.396969696969697
50,2.3033977077708294e-05,-1,0,67,1940,0,"[0.45, 0.46]",0.2,0.40303030303030307
51,0.0001669839264193465,-1,0,71,2089,0,"[0.45, 0.46]",0.2,0.40909090909090906
52,3.278769506611988e-05,-1,0,72,2931,0,"[0.45, 0.46]",0.2,0.41515151515151516
53,9.286074688230595e-05,-1,0,77,1991,0,"[0.45, 0.46]",0.2,0.42121212121212126
54,0.45605937140128,-1,0,67,2586,0,"[0.45, 0.46]",0.2,0.42727272727272725
55,6.851085218160448e-05,-1,0,65,2057,0,"[0.45, 0.46]",0.2,0.43333333333333335
56,0.0001015416072930632,-1,0,81,4969,0,"[0.45, 0.46]",0.2,0.43939393939393945
57,2.2771922220465676e-05,-1,0,68,3531,0,"[0.45, 0.46]",0.2,0.44545454545454544
58,3.53245643215334e-05,-1,0,65,4946,0,"[0.45, 0.46]",0.2,0.45151515151515154
