h0_val,h_b_val,sigma_val,allocentric_val,seed,phase,straightness,time_to_target,reached_target,composite_score
0.2043,0.3839,0.0018,1,0,1,1.0,,False,0.0
0.2043,0.3839,0.0018,1,1,1,1.0,,False,0.0
0.2043,0.3839,0.0018,1,2,1,1.0,,False,0.0
0.6341,0.2847,0.1125,0,0,1,1.0,,False,0.0
0.6341,0.2847,0.1125,0,1,1,1.0,,False,0.0
0.6341,0.2847,0.1125,0,2,1,1.0,,False,0.0
0.6814,0.3124,0.3143,1,0,1,0.7781,1660.0,True,0.7671
0.6814,0.3124,0.3143,1,1,1,0.7856,1595.0,True,0.7752
0.6814,0.3124,0.3143,1,2,1,0.7803,1630.0,True,0.7697
0.6313,0.0411,0.5555,0,0,1,0.0647,,False,0.0
0.6313,0.0411,0.5555,0,1,1,0.0543,,False,0.0
0.6313,0.0411,0.5555,0,2,1,0.12,,False,0.0
0.4088,0.2597,0.0298,1,0,1,1.0,,False,0.0
0.4088,0.2597,0.0298,1,1,1,1.0,,False,0.0
0.4088,0.2597,0.0298,1,2,1,1.0,,False,0.0
0.5528,0.371,0.425,0,0,1,0.2887,525.0,True,0.3494
0.5528,0.371,0.425,0,1,1,0.2554,803.0,True,0.3138
0.5528,0.371,0.425,0,2,1,0.3058,509.0,True,0.365
0.4699,0.3065,0.4784,1,0,1,0.1599,521.0,True,0.2335
0.4699,0.3065,0.4784,1,1,1,0.1578,461.0,True,0.2328
0.4699,0.3065,0.4784,1,2,1,0.1494,422.0,True,0.226
0.659,0.2202,0.1928,0,0,1,1.0,3948.0,True,0.921
0.659,0.2202,0.1928,0,1,1,0.7523,3153.0,True,0.714
0.659,0.2202,0.1928,0,2,1,0.7898,3344.0,True,0.7439
0.3801,0.245,0.4185,0,0,1,0.1495,351.0,True,0.2275
0.3801,0.245,0.4185,0,1,1,0.1447,265.0,True,0.2249
0.3801,0.245,0.4185,0,2,1,0.1307,398.0,True,0.2097
0.4972,0.1403,0.5648,0,0,1,0.0396,,False,0.0
0.4972,0.1403,0.5648,0,1,1,0.0306,,False,0.0
0.4972,0.1403,0.5648,0,2,1,0.0419,,False,0.0
0.6916,0.2376,0.5709,0,0,1,0.0424,,False,0.0
0.6916,0.2376,0.5709,0,1,1,0.0435,,False,0.0
0.6916,0.2376,0.5709,0,2,1,0.0434,,False,0.0
0.5459,0.1881,0.0218,0,0,1,1.0,,False,0.0
0.5459,0.1881,0.0218,0,1,1,1.0,,False,0.0
0.5459,0.1881,0.0218,0,2,1,1.0,,False,0.0
0.2468,0.1055,0.4273,0,0,1,0.0836,,False,0.0
0.2468,0.1055,0.4273,0,1,1,0.0701,219.0,True,0.1587
0.2468,0.1055,0.4273,0,2,1,0.1488,207.0,True,0.2297
0.2271,0.1709,0.176,0,0,1,1.0,,False,0.0
0.2271,0.1709,0.176,0,1,1,0.8987,,False,0.0
0.2271,0.1709,0.176,0,2,1,1.0,,False,0.0
0.2132,0.3184,0.4122,0,0,1,1.0,,False,0.0
0.2132,0.3184,0.4122,0,1,1,1.0,,False,0.0
0.2132,0.3184,0.4122,0,2,1,1.0,,False,0.0
0.4762,0.1371,0.2656,1,0,1,1.0,,False,0.0
0.4762,0.1371,0.2656,1,1,1,1.0,4641.0,True,0.9072
0.4762,0.1371,0.2656,1,2,1,1.0,,False,0.0
0.3593,0.1106,0.5555,1,0,1,0.1099,817.0,True,0.1826
0.3593,0.1106,0.5555,1,1,1,0.0997,651.0,True,0.1767
0.3593,0.1106,0.5555,1,2,1,0.0991,748.0,True,0.1742
0.3189,0.1026,0.5452,1,0,1,0.0578,511.0,True,0.1418
0.3189,0.1026,0.5452,1,1,1,0.0632,445.0,True,0.148
0.3189,0.1026,0.5452,1,2,1,0.0579,502.0,True,0.1421
0.2047,0.1702,0.4999,1,0,1,0.1075,244.0,True,0.1919
0.2047,0.1702,0.4999,1,1,1,0.1113,253.0,True,0.1951
0.2047,0.1702,0.4999,1,2,1,0.1081,240.0,True,0.1925
